"station_id","station_name","station_address","lat","lon","source","create_year"
"08BEAC0A0236","臺中市立豐村國小","42084臺中市豐原區水源路341號","24.25523866","120.7364315","Taichung19","2019"
"74DA38F2087E","宜蘭縣大同國小松羅分校","[267]宜蘭縣大同鄉松羅南巷88號","24.656","121.578","Ilan","2018"
"74DA38F20DE4","高雄市市立前鎮國小","高雄市前鎮國小 高雄市前鎮區新生路200號","22.586","120.308","Kaohsiung18","2018"
"08BEAC0A046A","臺南市市立佳里國小","臺南市佳里區安西里公園路445號","23.16435098","120.1718527","Tainan19","2019"
"08BEAC0A033C","嘉義縣縣立下楫國小","嘉義縣東石鄉下楫村147號","23.4920008","120.1871593","ChiayiCounty19","2019"
"74DA38F20E5E","苗栗縣縣立溪洲國小","[356]苗栗縣後龍鎮溪洲里87之3號","24.62","120.777","Miaoli","2018"
"74DA38F20FDA","高雄市市立文府國小","高雄市文府國小 高雄市左營區文府路399號","22.692","120.314","Kaohsiung18","2018"
"74DA38F2099C","屏東縣縣立新興國小","[913]屏東縣萬丹鄉灣內村聖賢路241號","22.57","120.458","Pingtung","2018"
"08BEAC0A0652","雲林縣縣立頂湖國小","雲林縣口湖鄉頂湖村一二一號","23.6004601","120.1794486","Yunlin19","2019"
"08BEAC0A0434","雲林縣縣立僑美國小","雲林縣北港鎮草湖里華勝路六五五號","23.5930461","120.3017378","Yunlin19","2019"
"74DA38C7D628","新竹市立龍山國小","[300]新竹市東區光復路一段574號","24.79","121.007","Hsinchu","2017"
"08BEAC0A047E","臺南市市立龍崎國中","臺南市龍崎區新市子258號","22.96851238","120.3609613","Tainan19","2019"
"08BEAC0A01A6","臺中市立協成國小","臺中市新社區協成里興義街219號","24.19350258","120.8124575","Taichung19","2019"
"08BEAC0A0104","臺中市立甲南國小","臺中市清水區臨海路26號","24.30474724","120.5955373","Taichung19","2019"
"08BEAC09FFFA","臺南市市立五王國小","臺南市永康區中華二路150號","23.0085611","120.2367644","Tainan19","2019"
"74DA38F20CC8","屏東縣縣立忠孝國小","[900]屏東縣屏東市建豐路204號","25.062","121.451","Pingtung","2018"
"74DA38F20C9E","新竹縣縣立五龍國小","[307]新竹縣芎林鄉五龍村105號","24.737","121.123","HsinchuCounty","2018"
"08BEAC0A0340","臺中市立上石國小","臺中市西屯區西屯路二段上石南六巷25號","24.173657","120.643326","Taichung19","2019"
"74DA38F20864","台東縣縣立初來國小","[957]臺東縣海端鄉海端村七鄰5號","23.117","121.169","Taitung","2018"
"08BEAC0A06FE","桃園市南崁高中","桃園市蘆竹區仁愛路二段1號","25.0526567986","121.297135279","Taoyuan19","2019"
"74DA38F20CA0","新竹縣縣立埔和國小","[304]新竹縣新豐鄉埔和村466號","24.921","120.982","HsinchuCounty","2018"
"08BEAC0A06F2","臺南市市立南安國小","臺南市安定區南安里62號","23.09862412","120.2249268","Tainan19","2019"
"74DA38B053E4","新竹市立建功高中附設國中","[300]新竹市東區建功二路17號","24.797","121.001","Hsinchu","2017"
"74DA38C7D60A","新竹市立內湖國小","[300]新竹市香山區內湖路109號","24.741","120.906","Hsinchu","2017"
"08BEAC09FF2E","臺中市立太平國中","臺中市太平區中山路2段116號","24.14911656","120.7370825","Taichung19","2019"
"08BEAC0A0004","臺中市立臺中二中","臺中市英士路109號","24.15245247","120.6744892","Taichung19","2019"
"08BEAC0A00A8","桃園市市立興仁國小","桃園市中壢區遠東路210號","24.96775333","121.26127","Taoyuan19","2019"
"74DA38F20BF2","高雄市市立小港國中","高雄市立小港國民中學 高雄市小港區港南里平和南路185號","22.566","120.337","Kaohsiung18","2018"
"74DA38F20BFA","宜蘭縣縣立東光國中","[265]宜蘭縣羅東鎮興東南路201號","24.671","121.766","Ilan","2018"
